Date,QQQ_open,QQQ_high,QQQ_low,QQQ_close,QQQ_volume,VIX,LT_SIG1,LT_SIG2,LT_SIG3,LT_SIG4,LT_SIG5,LT_SIG6,LT_SIG7,LT_SIG8,LT_SIG9,LT_SIG10,ST_SIG1,ST_SIG2,ST_SIG3,ST_SIG4,ST_SIG5,ST_SIG6,ST_SIG7,ST_SIG8,ST_SIG9,ST_SIG10,ST_SIG11,ST_SIG12,ST_SIG13,ST_SIG14,ST_SIG15,ST_SIG16,ST_SIG17,ST_SIG18,ST_SIG19,ST_SIG20,ST_SIG21,ST_SIG22,ST_SIG23,ST_SIG24,ST_SIG25,ST_SIG26,ST_SIG27,ST_SIG28,ST_SIG29,ST_SIG30,ST_SIG31,ST_SIG32,ST_SIG33,ST_SIG34,ST_SIG35,ST_SIG36,ST_SIG37,ST_SIG38,ST_SIG39,ST_SIG40,ST_SIG41,LT_Score,ST_Score,,,QQQ_today_close_to_tmrw_close_return,baseline_target_exposure_calculated_at_todays_close,baseline_strategy_return
2018-01-29,161.8,162.17,161.06,161.4,39286288,13.84,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,-0.008178438662,0,0
2018-01-30,159.93,160.76,159.24,160.08,47411516,14.79,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,,,0.004122938531,0,0
2018-01-31,161,161.3,159.73,160.74,44736260,13.54,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,,,-0.008523080752,0,0
2018-02-01,159.53,161.05,158.86,159.37,40087264,13.47,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,,,-0.01995356717,0,0
2018-02-02,158.79,159.13,156.06,156.19,72167512,17.31,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,,,-0.03937512005,105,-0.04134387605
2018-02-05,154.79,157.28,149.92,150.04,111049424,37.32,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,18,,,0.02645961077,120,0.03175153292
2018-02-06,147.99,154.2,147.17,154.01,124924424,29.98,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,18,,,-0.01292123888,120,-0.01550548666
2018-02-07,153.52,155.19,152.01,152.02,95932712,27.73,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,18,,,-0.04216550454,120,-0.05059860545
2018-02-08,152.48,152.58,145.61,145.61,99259288,33.46,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,19,,,0.01723782707,120,0.02068539249
2018-02-09,147.7,149.2,142.45,148.12,119969792,29.06,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,19,,,0.01775587362,120,0.02130704834
2018-02-12,149.61,151.77,148.46,150.75,66447652,25.61,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,,,0.005174129353,0,0
