Date,LT_Score,ST_Score,VIX,exposure,strategy_return,vol_scaling,vol_adj,combo_strength,drawdown,baseline_target_exposure_calculated_at_todays_close,baseline_strategy_return,QQQ_today_close_to_tmrw_close_return
2018-01-02,2,2,9.77,0.25767850252746094,0.0,1.000221857003136,1.1,0.10645510224271769,0.0,0,0.0,0.009708092293
2018-01-03,2,1,9.15,0.2518539187185742,0.00044120125565659453,1.000221857003136,1.1,0.10043930485552353,0.0,0,0.0,0.001712216003
2018-01-04,2,1,9.22,0.2483591684332421,0.002533275233007602,1.000221857003136,1.1,0.10043930485552353,0.0,0,0.0,0.01005851029
2018-01-05,2,1,9.22,0.24626231826204287,0.0009699004233983654,1.000221857003136,1.1,0.10043930485552353,0.0,0,0.0,0.003905233012
2018-01-08,2,1,9.52,0.2450042081593233,1.596617727413301e-05,1.000221857003136,1.1,0.10043930485552353,0.0,0,0.0,6.48340249e-05
2018-01-09,2,1,10.08,0.24424934209769159,-0.0005718088489018735,1.000221857003136,1.1,0.10043930485552353,0.0005718088489017337,0,0.0,-0.002333873582
2018-01-10,1,1,9.82,0.19141403836353155,0.0016665267996293328,1.000221857003136,1.1,0.046337274611572186,0.0,0,0.0,0.006823055429
2018-01-11,1,1,9.88,0.1597128561230355,0.0014083645523985096,1.000221857003136,1.1,0.046337274611572186,0.0,0,0.0,0.007357686847
2018-01-12,1,1,10.16,0.14069214677873787,-0.0004604740213862104,1.000221857003136,1.1,0.046337274611572186,0.00046047402138627014,0,0.0,-0.002883136853
2018-01-16,1,1,11.66,0.1292797211721593,0.0015187483555108953,1.000221857003136,1.1,0.046337274611572186,0.0,0,0.0,0.0107948339
2018-01-17,1,1,11.91,0.12243226580821216,2.465445067065244e-05,1.000221857003136,1.1,0.046337274611572186,0.0,0,0.0,0.0001907062488
2018-01-18,1,1,12.22,0.11832379258984388,0.00038906910453523173,1.000221857003136,1.1,0.046337274611572186,0.0,0,0.0,0.003177831448
2018-01-19,1,1,11.27,0.1158587086588229,0.0012668981848457423,1.000221857003136,1.1,0.046337274611572186,0.0,0,0.0,0.01070704511
2018-01-22,1,1,11.03,0.11437965830021031,0.0009513878790893867,1.000221857003136,1.1,0.046337274611572186,0.0,0,0.0,0.008211621639
2018-01-23,1,1,11.1,0.11349222808504275,-0.0007395849579689542,1.000221857003136,1.1,0.046337274611572186,0.0007395849579689973,0,0.0,-0.006466053221
